SSA (m2/g),ID/IG,%N,%O,%S,Current density (A/g),Specific capacitance (F/g),Calculated pH
353.1,0.46,1.1,7.23,0.0,1.0,162.0,14.78
353.1,0.46,1.1,7.23,0.0,2.0,148.0,14.78
353.1,0.46,1.1,7.23,0.0,5.0,125.0,14.78
353.1,0.46,1.1,7.23,0.0,10.0,97.0,14.78
462.1,0.54,1.87,7.68,0.0,0.1,279.0,14.78
462.1,0.54,1.87,7.68,0.0,0.5,276.0,14.78
462.1,0.54,1.87,7.68,0.0,1.0,222.0,14.78
462.1,0.54,1.87,7.68,0.0,2.0,180.0,14.78
462.1,0.54,1.87,7.68,0.0,5.0,150.0,14.78
462.1,0.54,1.87,7.68,0.0,10.0,124.0,14.78
407.0,0.77,2.46,6.85,0.0,0.1,229.0,14.78
407.0,0.77,2.46,6.85,0.0,0.5,210.0,14.78
407.0,0.77,2.46,6.85,0.0,1.0,180.0,14.78
407.0,0.77,2.46,6.85,0.0,2.0,150.0,14.78
407.0,0.77,2.46,6.85,0.0,5.0,136.0,14.78
407.0,0.77,2.46,6.85,0.0,10.0,110.0,14.78
175.9,1.14,9.69,6.36,1.2,1.0,323.8,14.78
175.9,1.14,9.69,6.36,1.2,2.0,316.7,14.78
175.9,1.14,9.69,6.36,1.2,5.0,305.3,14.78
175.9,1.14,9.69,6.36,1.2,10.0,294.6,14.78
175.9,1.14,9.69,6.36,1.2,20.0,286.3,14.78
131.3,1.24,8.48,32.32,4.59,0.2,158.0,14.78
131.3,1.24,8.48,32.32,4.59,0.5,149.0,14.78
131.3,1.24,8.48,32.32,4.59,1.0,142.0,14.78
131.3,1.24,8.48,32.32,4.59,5.0,132.0,14.78
131.3,1.24,8.48,32.32,4.59,10.0,124.0,14.78
284.8,1.27,10.28,27.56,3.86,0.2,167.0,14.78
284.8,1.27,10.28,27.56,3.86,0.5,161.0,14.78
284.8,1.27,10.28,27.56,3.86,1.0,154.0,14.78
284.8,1.27,10.28,27.56,3.86,5.0,142.0,14.78
284.8,1.27,10.28,27.56,3.86,10.0,133.0,14.78
324.6,1.17,6.4,13.69,2.66,0.2,208.0,14.78
324.6,1.17,6.4,13.69,2.66,0.5,198.0,14.78
324.6,1.17,6.4,13.69,2.66,1.0,185.0,14.78
324.6,1.17,6.4,13.69,2.66,5.0,177.0,14.78
324.6,1.17,6.4,13.69,2.66,10.0,167.0,14.78
259.5,1.25,4.88,6.79,2.08,0.2,132.0,14.78
259.5,1.25,4.88,6.79,2.08,0.5,118.0,14.78
259.5,1.25,4.88,6.79,2.08,1.0,112.0,14.78
259.5,1.25,4.88,6.79,2.08,5.0,95.0,14.78
259.5,1.25,4.88,6.79,2.08,10.0,85.0,14.78
471.05,1.78,0.0,28.41,0.0,0.3,160.0,0.6
274.44,1.76,1.66,12.91,0.0,0.3,349.0,0.6
471.05,1.78,0.0,28.41,0.0,0.5,149.0,0.6
274.44,1.76,1.66,12.91,0.0,0.5,332.0,0.6
471.05,1.78,0.0,28.41,0.0,0.7,140.0,0.6
274.44,1.76,1.66,12.91,0.0,0.7,320.0,0.6
471.05,1.78,0.0,28.41,0.0,1.0,135.0,0.6
274.44,1.76,1.66,12.91,0.0,1.0,306.0,0.6
471.05,1.78,0.0,28.41,0.0,2.0,124.0,0.6
274.44,1.76,1.66,12.91,0.0,2.0,273.0,0.6
471.05,1.78,0.0,28.41,0.0,3.0,105.0,0.6
274.44,1.76,1.66,12.91,0.0,3.0,249.0,0.6
471.05,1.78,0.0,28.41,0.0,4.0,93.0,0.6
274.44,1.76,1.66,12.91,0.0,4.0,225.0,0.6
471.05,1.78,0.0,28.41,0.0,5.0,87.0,0.6
274.44,1.76,1.66,12.91,0.0,5.0,206.0,0.6
282.3,1.06,1.26,10.01,1.16,0.5,327.0,14.78
282.3,1.06,1.26,10.01,1.16,1.0,274.0,14.78
282.3,1.06,1.26,10.01,1.16,2.0,263.0,14.78
282.3,1.06,1.26,10.01,1.16,3.0,250.0,14.78
282.3,1.06,1.26,10.01,1.16,5.0,246.0,14.78
282.3,1.06,1.26,10.01,1.16,10.0,229.0,14.78
282.3,1.06,1.26,10.01,1.16,20.0,212.0,14.78
366.0,1.11,2.27,9.18,2.39,0.5,381.0,14.78
366.0,1.11,2.27,9.18,2.39,1.0,321.0,14.78
366.0,1.11,2.27,9.18,2.39,2.0,310.0,14.78
366.0,1.11,2.27,9.18,2.39,3.0,307.0,14.78
366.0,1.11,2.27,9.18,2.39,5.0,297.0,14.78
366.0,1.11,2.27,9.18,2.39,10.0,280.0,14.78
366.0,1.11,2.27,9.18,2.39,20.0,258.0,14.78
257.8,1.08,1.52,8.75,1.91,0.5,320.0,14.78
257.8,1.08,1.52,8.75,1.91,1.0,265.0,14.78
257.8,1.08,1.52,8.75,1.91,2.0,251.0,14.78
257.8,1.08,1.52,8.75,1.91,3.0,247.0,14.78
257.8,1.08,1.52,8.75,1.91,5.0,227.0,14.78
257.8,1.08,1.52,8.75,1.91,10.0,224.0,14.78
257.8,1.08,1.52,8.75,1.91,20.0,200.0,14.78
966.0,1.06,1.62,5.96,0.48,0.5,261.0,14.78
966.0,1.06,1.62,5.96,0.48,1.0,194.0,14.78
966.0,1.06,1.62,5.96,0.48,3.0,130.0,14.78
966.0,1.06,1.62,5.96,0.48,5.0,119.0,14.78
966.0,1.06,1.62,5.96,0.48,8.0,103.0,14.78
1335.0,1.13,1.6,4.62,0.37,0.5,203.0,14.78
1335.0,1.13,1.6,4.62,0.37,1.0,148.0,14.78
1335.0,1.13,1.6,4.62,0.37,3.0,100.0,14.78
1335.0,1.13,1.6,4.62,0.37,5.0,95.0,14.78
1335.0,1.13,1.6,4.62,0.37,8.0,78.0,14.78
1934.7,0.0,0.0,3.86,0.0,0.3,208.0,14.78
1919.1,0.0,0.0,3.24,0.64,0.3,234.0,14.78
1790.3,0.0,0.0,4.07,1.13,0.3,257.0,14.78
1630.9,0.0,0.0,6.35,2.37,0.3,183.0,14.78
1934.7,0.0,0.0,3.86,0.0,0.5,195.0,14.78
1919.1,0.0,0.0,3.24,0.64,0.5,218.0,14.78
1790.3,0.0,0.0,4.07,1.13,0.5,241.0,14.78
1630.9,0.0,0.0,6.35,2.37,0.5,153.0,14.78
1934.7,0.0,0.0,3.86,0.0,1.0,189.0,14.78
1919.1,0.0,0.0,3.24,0.64,1.0,207.0,14.78
1790.3,0.0,0.0,4.07,1.13,1.0,234.0,14.78
1630.9,0.0,0.0,6.35,2.37,1.0,167.0,14.78
1934.7,0.0,0.0,3.86,0.0,2.5,180.0,14.78
1919.1,0.0,0.0,3.24,0.64,2.5,199.0,14.78
1790.3,0.0,0.0,4.07,1.13,2.5,223.0,14.78
1630.9,0.0,0.0,6.35,2.37,2.5,160.0,14.78
1934.7,0.0,0.0,3.86,0.0,5.0,177.0,14.78
1919.1,0.0,0.0,3.24,0.64,5.0,195.0,14.78
1790.3,0.0,0.0,4.07,1.13,5.0,219.0,14.78
1630.9,0.0,0.0,6.35,2.37,5.0,158.0,14.78
1934.7,0.0,0.0,3.86,0.0,10.0,172.0,14.78
1919.1,0.0,0.0,3.24,0.64,10.0,190.0,14.78
1790.3,0.0,0.0,4.07,1.13,10.0,214.0,14.78
1630.9,0.0,0.0,6.35,2.37,10.0,156.0,14.78
1934.7,0.0,0.0,3.86,0.0,25.0,171.0,14.78
1919.1,0.0,0.0,3.24,0.64,25.0,179.0,14.78
1790.3,0.0,0.0,4.07,1.13,25.0,210.0,14.78
1630.9,0.0,0.0,6.35,2.37,25.0,155.0,14.78
106.3,1.01,0.0,12.88,0.0,1.0,160.0,14.0
106.3,1.01,0.0,12.88,0.0,2.0,150.0,14.0
106.3,1.01,0.0,12.88,0.0,5.0,140.0,14.0
106.3,1.01,0.0,12.88,0.0,8.0,130.0,14.0
106.3,1.01,0.0,12.88,0.0,10.0,127.0,14.0
106.3,1.01,0.0,12.88,0.0,15.0,123.0,14.0
106.3,1.01,0.0,12.88,0.0,20.0,118.0,14.0
193.5,1.05,0.0,11.89,0.0,1.0,215.0,14.0
193.5,1.05,0.0,11.89,0.0,2.0,200.0,14.0
193.5,1.05,0.0,11.89,0.0,5.0,185.0,14.0
193.5,1.05,0.0,11.89,0.0,8.0,178.0,14.0
193.5,1.05,0.0,11.89,0.0,10.0,175.0,14.0
193.5,1.05,0.0,11.89,0.0,15.0,173.0,14.0
193.5,1.05,0.0,11.89,0.0,20.0,171.0,14.0
129.2,1.33,4.25,11.2,2.69,1.0,315.0,14.0
129.2,1.33,4.25,11.2,2.69,2.0,260.0,14.0
129.2,1.33,4.25,11.2,2.69,5.0,223.0,14.0
129.2,1.33,4.25,11.2,2.69,8.0,205.0,14.0
129.2,1.33,4.25,11.2,2.69,10.0,200.0,14.0
129.2,1.33,4.25,11.2,2.69,15.0,193.0,14.0
129.2,1.33,4.25,11.2,2.69,20.0,190.0,14.0
370.4,1.32,4.8,7.76,2.01,1.0,346.0,14.0
370.4,1.32,4.8,7.76,2.01,2.0,302.0,14.0
370.4,1.32,4.8,7.76,2.01,5.0,260.0,14.0
370.4,1.32,4.8,7.76,2.01,8.0,242.0,14.0
370.4,1.32,4.8,7.76,2.01,10.0,235.0,14.0
370.4,1.32,4.8,7.76,2.01,15.0,215.0,14.0
370.4,1.32,4.8,7.76,2.01,20.0,201.0,14.0
261.0,0.92,0.0,14.03,3.47,5.0,285.0,14.48
261.0,0.92,0.0,14.03,3.47,3.0,320.0,14.48
261.0,0.92,0.0,14.03,3.47,10.0,155.0,14.48
109.07,1.21,5.32,8.76,0.0,1.0,359.0,14.78
109.07,1.21,5.32,8.76,0.0,2.0,330.0,14.78
109.07,1.21,5.32,8.76,0.0,3.0,315.0,14.78
109.07,1.21,5.32,8.76,0.0,4.0,300.0,14.78
109.07,1.21,5.32,8.76,0.0,5.0,292.0,14.78
109.07,1.21,5.32,8.76,0.0,10.0,280.0,14.78
39.05,1.02,4.16,9.39,0.0,1.0,280.0,14.78
39.05,1.02,4.16,9.39,0.0,2.0,225.0,14.78
39.05,1.02,4.16,9.39,0.0,3.0,220.0,14.78
39.05,1.02,4.16,9.39,0.0,4.0,220.0,14.78
39.05,1.02,4.16,9.39,0.0,5.0,215.0,14.78
39.05,1.02,4.16,9.39,0.0,10.0,203.0,14.78
531.9,0.0,7.7,13.7,0.0,2.0,320.0,14.78
531.9,0.0,7.7,13.7,0.0,5.0,298.5,14.78
531.9,0.0,7.7,13.7,0.0,10.0,239.0,14.78
1888.0,1.86,0.0,0.0,0.0,1.0,125.5,14.78
1866.0,2.01,0.0,0.0,0.97,1.0,119.0,14.78
1697.0,2.03,0.0,0.0,1.2,1.0,137.0,14.78
1639.0,1.93,0.0,0.0,0.87,1.0,124.5,14.78
1866.0,2.01,0.0,0.0,0.97,2.5,118.8,14.78
1697.0,2.03,0.0,0.0,1.2,2.5,131.0,14.78
1639.0,1.93,0.0,0.0,0.87,2.5,121.5,14.78
1866.0,2.01,0.0,0.0,0.97,5.0,112.5,14.78
1697.0,2.03,0.0,0.0,1.2,5.0,126.0,14.78
1639.0,1.93,0.0,0.0,0.87,5.0,119.0,14.78
1866.0,2.01,0.0,0.0,0.97,10.0,106.5,14.78
1697.0,2.03,0.0,0.0,1.2,10.0,121.5,14.78
1639.0,1.93,0.0,0.0,0.87,10.0,118.0,14.78
1866.0,2.01,0.0,0.0,0.97,25.0,98.0,14.78
1697.0,2.03,0.0,0.0,1.2,25.0,110.0,14.78
1639.0,1.93,0.0,0.0,0.87,25.0,114.0,14.78
260.0,0.0,0.0,14.39,0.0,0.2,203.0,14.78
593.0,0.0,10.09,13.86,0.0,0.2,326.0,14.78
502.0,0.0,4.96,14.02,0.0,0.2,238.0,14.78
527.0,0.0,5.93,13.72,0.0,0.2,251.0,14.78
571.0,0.0,9.5,11.81,0.0,0.2,276.0,14.78
544.0,0.0,8.47,11.77,0.0,0.2,289.0,14.78
373.0,0.0,6.36,15.91,0.0,0.2,254.0,14.78
460.0,0.0,7.84,14.4,0.0,0.2,286.0,14.78
413.0,0.0,7.3,10.73,0.0,0.2,281.0,14.78
260.0,0.0,0.0,14.39,0.0,1.0,169.0,14.78
593.0,0.0,10.09,13.86,0.0,1.0,269.0,14.78
502.0,0.0,4.96,14.02,0.0,1.0,210.0,14.78
527.0,0.0,5.93,13.72,0.0,1.0,216.0,14.78
571.0,0.0,9.5,11.81,0.0,1.0,239.0,14.78
544.0,0.0,8.47,11.77,0.0,1.0,250.0,14.78
373.0,0.0,6.36,15.91,0.0,1.0,193.0,14.78
460.0,0.0,7.84,14.4,0.0,1.0,222.0,14.78
413.0,0.0,7.3,10.73,0.0,1.0,207.0,14.78
