SSA (m2/g),ID/IG,%N,%O,%S,Current density (A/g),Specific capacitance (F/g),Calculated pH
444.5,0.84,1.86,0.0,0.0,10.0,222.0,14.78
444.5,0.84,1.86,0.0,0.0,20.0,200.0,14.78
444.5,0.84,1.86,0.0,0.0,30.0,175.0,14.78
444.5,0.84,2.39,0.0,0.0,1.0,187.0,14.78
444.5,0.84,2.39,0.0,0.0,10.0,162.5,14.78
444.5,0.84,2.39,0.0,0.0,20.0,152.0,14.78
444.5,0.84,2.39,0.0,0.0,30.0,150.0,14.78
444.5,0.84,2.51,0.0,0.0,1.0,160.0,14.78
444.5,0.84,2.51,0.0,0.0,10.0,137.5,14.78
444.5,0.84,2.51,0.0,0.0,20.0,125.0,14.78
444.5,0.84,2.51,0.0,0.0,30.0,112.0,14.78
1484.0,0.84,5.74,0.0,0.0,0.2,262.5,-0.0
1484.0,0.84,5.74,0.0,0.0,5.0,250.0,-0.0
1484.0,0.84,5.74,0.0,0.0,10.0,175.0,-0.0
1484.0,0.84,5.74,0.0,0.0,15.0,153.0,-0.0
1484.0,0.84,5.74,0.0,0.0,20.0,137.5,-0.0
1569.0,0.84,6.25,0.0,0.0,0.2,325.0,-0.0
1569.0,0.84,6.25,0.0,0.0,5.0,276.0,-0.0
1569.0,0.84,6.25,0.0,0.0,10.0,270.0,-0.0
1569.0,0.84,6.25,0.0,0.0,15.0,265.0,-0.0
1569.0,0.84,6.25,0.0,0.0,20.0,262.0,-0.0
95.9,1.08,0.92,0.0,0.82,0.5,164.4,14.78
95.9,1.08,0.92,0.0,0.82,50.0,100.0,14.78
94.8,1.1,0.96,0.0,0.89,0.5,189.4,14.78
94.8,1.1,0.96,0.0,0.89,50.0,102.5,14.78
80.0,1.13,1.21,0.0,1.7,0.5,212.5,14.78
80.0,1.13,1.21,0.0,1.7,50.0,125.63,14.78
38.7,1.17,1.23,0.0,2.1,0.5,203.9,14.78
38.7,1.17,1.23,0.0,2.1,50.0,124.8,14.78
37.9,1.18,1.36,0.0,2.43,0.5,195.5,14.78
37.9,1.18,1.36,0.0,2.43,50.0,118.8,14.78
726.4,1.69,4.05,0.0,0.0,1.0,178.0,14.78
726.4,1.69,4.05,0.0,0.0,5.0,164.0,14.78
726.4,1.69,4.05,0.0,0.0,10.0,155.0,14.78
726.4,1.69,4.05,0.0,0.0,20.0,147.0,14.78
726.4,1.69,4.05,0.0,0.0,50.0,142.0,14.78
851.3,1.99,6.46,0.0,0.0,1.0,114.0,14.78
851.3,1.99,6.46,0.0,0.0,5.0,102.0,14.78
851.3,1.99,6.46,0.0,0.0,10.0,95.0,14.78
851.3,1.99,6.46,0.0,0.0,20.0,88.0,14.78
851.3,1.99,6.46,0.0,0.0,50.0,78.0,14.78
437.9,1.72,5.47,0.0,0.0,1.0,156.0,14.78
437.9,1.72,5.47,0.0,0.0,5.0,138.0,14.78
437.9,1.72,5.47,0.0,0.0,10.0,126.0,14.78
437.9,1.72,5.47,0.0,0.0,20.0,118.0,14.78
437.9,1.72,5.47,0.0,0.0,50.0,109.0,14.78
173.0,0.92,8.2,20.4,0.0,1.0,120.0,-0.0
173.0,0.92,8.2,20.4,0.0,2.0,108.0,-0.0
173.0,0.92,8.2,20.4,0.0,5.0,93.0,-0.0
238.0,0.96,8.7,11.2,0.0,1.0,113.0,-0.0
238.0,0.96,8.7,11.2,0.0,2.0,105.0,-0.0
238.0,0.96,8.7,11.2,0.0,5.0,103.0,-0.0
283.0,0.97,8.5,10.9,0.0,1.0,168.0,-0.0
283.0,0.97,8.5,10.9,0.0,2.0,160.0,-0.0
283.0,0.97,8.5,10.9,0.0,5.0,147.0,-0.0
308.8,1.01,1.46,11.94,1.14,0.5,378.0,14.78
308.8,1.01,1.46,11.94,1.14,1.0,352.0,14.78
308.8,1.01,1.46,11.94,1.14,2.0,325.0,14.78
308.8,1.01,1.46,11.94,1.14,5.0,308.0,14.78
308.8,1.01,1.46,11.94,1.14,10.0,292.0,14.78
410.2,1.03,2.19,9.14,3.71,0.5,448.0,14.78
410.2,1.03,2.19,9.14,3.71,1.0,399.0,14.78
410.2,1.03,2.19,9.14,3.71,2.0,372.0,14.78
410.2,1.03,2.19,9.14,3.71,5.0,330.0,14.78
410.2,1.03,2.19,9.14,3.71,10.0,300.0,14.78
248.8,1.04,2.52,9.36,3.2,0.5,340.0,14.78
248.8,1.04,2.52,9.36,3.2,1.0,302.0,14.78
248.8,1.04,2.52,9.36,3.2,2.0,298.0,14.78
248.8,1.04,2.52,9.36,3.2,5.0,276.0,14.78
248.8,1.04,2.52,9.36,3.2,10.0,265.0,14.78
162.4,1.87,0.0,15.34,0.0,0.5,40.0,14.78
269.4,2.17,0.0,35.15,11.25,0.5,181.5,14.78
271.1,2.18,0.0,25.01,7.92,0.5,209.3,14.78
274.4,2.19,0.0,15.34,3.83,0.5,237.0,14.78
280.0,2.32,0.0,15.07,3.42,0.5,253.2,14.78
287.9,2.57,0.0,8.11,1.47,0.5,270.4,14.78
649.0,1.02,4.12,8.21,0.0,0.5,199.5,14.78
649.0,1.02,4.12,8.21,0.0,1.0,190.0,14.78
649.0,1.02,4.12,8.21,0.0,2.0,174.0,14.78
649.0,1.02,4.12,8.21,0.0,3.0,170.0,14.78
